Id,AccountId,Name,Type,CreatedDate,CloseDate,Owner,OwnerId,StageName,QuarterStatus,Amount,ARR,Geography__c,Region__c
300000000000001,200000000000003,2K Games 1,Expansion,2/17/09,12/31/09,Aaron Little,100000000000024,Closed Lost,,3000,,North America,United States
300000000000002,200000000000002,24 Hour Fitness 1,Expansion,2/17/09,12/31/09,Aaron Little,100000000000024,Closed Lost,,138000,,North America,United States
300000000000003,200000000000009,A. O. Smith 1,Expansion,2/19/09,12/31/09,Aaron Little,100000000000024,Closed Lost,,138000,,North America,United States
300000000000004,200000000000008,77 Bank 1,Expansion,2/19/09,12/31/09,Aaron Little,100000000000024,Closed Lost,,138000,,North America,United States
300000000000005,200000000000010,A. Schulman 1,Expansion,3/19/09,4/8/16,Aaron Little,100000000000024,Closed Lost,,,,North America,United States
300000000000006,200000000000057,Acme Fresh Market 1,Expansion,3/8/10,4/1/10,Julius Willis,100000000000004,Closed Won,Closed Won,101550,,Asia Pacific,Australia
300000000000007,200000000000206,Allison Transmission 1,Expansion,3/29/10,10/12/11,Aaron Little,100000000000024,Closed Lost,,,,North America,United States
300000000000008,200000000000207,Allmerica Financial Corporation 1,New Business,3/29/10,11/30/10,Aaron Little,100000000000024,Closed Lost,,138000,,North America,United States
300000000000009,200000000000144,Airports of Thailand 1,Expansion,3/29/10,6/29/10,Rosemarie Fisher,100000000000005,Closed Won,Closed Won,59700,,North America,United States
300000000000010,200000000000011,A.G. Edwards Inc. 1,Expansion,3/29/10,4/22/10,Julius Willis,100000000000004,Closed Won,Closed Won,15860,,Europe,Western Europe
300000000000011,200000000000007,4Licensing Corporation 1,Expansion,3/29/10,12/21/10,Julius Willis,100000000000004,Closed Won,Closed Won,62400,,North America,United States
300000000000012,200000000000020,Abanti 1,Expansion,3/29/10,6/30/10,Hope Lynch,100000000000009,Closed Won,Closed Won,35400,,North America,United States
300000000000013,200000000000019,Abandu 1,New Business,3/29/10,6/24/10,Kayla Leonard,100000000000010,Closed Won,Closed Won,63750,,North America,United States
300000000000014,200000000000153,Akzo Nobel 1,New Business,3/29/10,11/29/11,Michele Gonzalez,100000000000025,Closed Lost,,,,Asia Pacific,China
300000000000015,200000000000056,Acme Brick 1,Expansion,3/31/10,7/26/10,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000016,200000000000192,Allen Organ Company 1,Expansion,3/31/10,2/7/11,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000017,200000000000239,AMC Entertainment Inc. 1,New Business,3/31/10,4/8/16,Jan Barnett,100000000000043,Closed Lost,,,,North America,United States
300000000000018,200000000000139,Airborne Inc. 1,New Business,3/31/10,12/29/11,Julius Willis,100000000000004,Closed Won,Closed Won,81300,,North America,United States
300000000000019,200000000000136,Air Tractor 1,Expansion,4/2/10,10/1/10,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000020,200000000000020,Abanti 2,New Business,4/5/10,9/15/10,Hope Lynch,100000000000009,Closed Won,Closed Won,50250,,North America,United States
300000000000021,200000000000241,Amdocs 1,Expansion,4/6/10,9/1/10,Aaron Little,100000000000024,Closed Lost,Closed Lost,67800,,North America,United States
300000000000022,200000000000193,Allergan 1,New Business,4/6/10,6/24/10,Christine Owen,100000000000011,Closed Won,Closed Won,67800,,North America,United States
300000000000023,200000000000238,AMC Entertainment 1,Expansion,4/7/10,4/8/16,Victoria Mckenzie,100000000000050,Closed Lost,,,,Asia Pacific,China
300000000000024,200000000000293,Amosis 1,Expansion,4/9/10,4/8/16,Jan Barnett,100000000000043,Closed Lost,,35400,,North America,United States
300000000000025,200000000000018,Abalium 1,New Business,4/9/10,10/12/11,Jan Barnett,100000000000043,Closed Lost,,,,North America,United States
300000000000026,200000000000290,Amkor Technology Inc. 1,Expansion,4/9/10,4/8/16,Vickie Cooper,100000000000001,Closed Lost,,67800,,Europe,Eastern Europe
300000000000027,200000000000288,Amicious 1,Expansion,4/9/10,10/12/11,Nancy Simon,100000000000081,Closed Lost,,,,North America,United States
300000000000028,200000000000305,Amtrak (National Railroad Passenger Corporation) 1,New Business,4/23/10,3/30/11,Aaron Little,100000000000024,Closed Lost,,132600,,North America,United States
300000000000029,200000000000197,Alliance Global Group 1,Expansion,4/23/10,2/7/11,Aaron Little,100000000000024,Closed Lost,,273000,,North America,United States
