Id,AccountId,Name,Type,CreatedDate,CloseDate,Owner,OwnerId,StageName,QuarterStatus,Amount,ARR,Geography__c,Region__c
300000000000001,200000000000003,2K Games 1,Expansion,2009-02-17T08:00:00.000+0000,2009-12-31,Aaron Little,100000000000024,Closed Lost,,3000,,North America,United States
300000000000002,200000000000002,24 Hour Fitness 1,Expansion,2009-02-17T08:00:00.000+0000,2009-12-31,Aaron Little,100000000000024,Closed Lost,,138000,,North America,United States
300000000000003,200000000000009,A. O. Smith 1,Expansion,2009-02-19T08:00:00.000+0000,2009-12-31,Aaron Little,100000000000024,Closed Lost,,138000,,North America,United States
300000000000004,200000000000008,77 Bank 1,Expansion,2009-02-19T08:00:00.000+0000,2009-12-31,Aaron Little,100000000000024,Closed Lost,,138000,,North America,United States
300000000000005,200000000000010,A. Schulman 1,Expansion,2009-03-19T07:00:00.000+0000,2016-04-08,Aaron Little,100000000000024,Closed Lost,,,,North America,United States
300000000000006,200000000000057,Acme Fresh Market 1,Expansion,2010-03-08T08:00:00.000+0000,2010-04-01,Julius Willis,100000000000004,Closed Won,Closed Won,101550,,Asia Pacific,Australia
300000000000007,200000000000206,Allison Transmission 1,Expansion,2010-03-29T07:00:00.000+0000,2011-10-12,Aaron Little,100000000000024,Closed Lost,,,,North America,United States
300000000000008,200000000000207,Allmerica Financial Corporation 1,New Business,2010-03-29T07:00:00.000+0000,2010-11-30,Aaron Little,100000000000024,Closed Lost,,138000,,North America,United States
300000000000009,200000000000144,Airports of Thailand 1,Expansion,2010-03-29T07:00:00.000+0000,2010-06-29,Rosemarie Fisher,100000000000005,Closed Won,Closed Won,59700,,North America,United States
300000000000010,200000000000011,A.G. Edwards Inc. 1,Expansion,2010-03-29T07:00:00.000+0000,2010-04-22,Julius Willis,100000000000004,Closed Won,Closed Won,15860,,Europe,Western Europe
300000000000011,200000000000007,4Licensing Corporation 1,Expansion,2010-03-29T07:00:00.000+0000,2010-12-21,Julius Willis,100000000000004,Closed Won,Closed Won,62400,,North America,United States
300000000000012,200000000000020,Abanti 1,Expansion,2010-03-29T07:00:00.000+0000,2010-06-30,Hope Lynch,100000000000009,Closed Won,Closed Won,35400,,North America,United States
300000000000013,200000000000019,Abandu 1,New Business,2010-03-29T07:00:00.000+0000,2010-06-24,Kayla Leonard,100000000000010,Closed Won,Closed Won,63750,,North America,United States
300000000000014,200000000000153,Akzo Nobel 1,New Business,2010-03-29T07:00:00.000+0000,2011-11-29,Michele Gonzalez,100000000000025,Closed Lost,,,,Asia Pacific,China
300000000000015,200000000000056,Acme Brick 1,Expansion,2010-03-31T07:00:00.000+0000,2010-07-26,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000016,200000000000192,Allen Organ Company 1,Expansion,2010-03-31T07:00:00.000+0000,2011-02-07,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000017,200000000000239,AMC Entertainment Inc. 1,New Business,2010-03-31T07:00:00.000+0000,2016-04-08,Jan Barnett,100000000000043,Closed Lost,,,,North America,United States
300000000000018,200000000000139,Airborne Inc. 1,New Business,2010-03-31T07:00:00.000+0000,2011-12-29,Julius Willis,100000000000004,Closed Won,Closed Won,81300,,North America,United States
300000000000019,200000000000136,Air Tractor 1,Expansion,2010-04-02T07:00:00.000+0000,2010-10-01,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000020,200000000000020,Abanti 2,New Business,2010-04-05T07:00:00.000+0000,2010-09-15,Hope Lynch,100000000000009,Closed Won,Closed Won,50250,,North America,United States
300000000000021,200000000000241,Amdocs 1,Expansion,2010-04-06T07:00:00.000+0000,2010-09-01,Aaron Little,100000000000024,Closed Lost,Closed Lost,67800,,North America,United States
300000000000022,200000000000193,Allergan 1,New Business,2010-04-06T07:00:00.000+0000,2010-06-24,Christine Owen,100000000000011,Closed Won,Closed Won,67800,,North America,United States
300000000000023,200000000000238,AMC Entertainment 1,Expansion,2010-04-07T07:00:00.000+0000,2016-04-08,Victoria Mckenzie,100000000000050,Closed Lost,,,,Asia Pacific,China
300000000000024,200000000000293,Amosis 1,Expansion,2010-04-09T07:00:00.000+0000,2016-04-08,Jan Barnett,100000000000043,Closed Lost,,35400,,North America,United States
300000000000025,200000000000018,Abalium 1,New Business,2010-04-09T07:00:00.000+0000,2011-10-12,Jan Barnett,100000000000043,Closed Lost,,,,North America,United States
300000000000026,200000000000290,Amkor Technology Inc. 1,Expansion,2010-04-09T07:00:00.000+0000,2016-04-08,Vickie Cooper,100000000000001,Closed Lost,,67800,,Europe,Eastern Europe
300000000000027,200000000000288,Amicious 1,Expansion,2010-04-09T07:00:00.000+0000,2011-10-12,Nancy Simon,100000000000081,Closed Lost,,,,North America,United States
300000000000028,200000000000305,Amtrak (National Railroad Passenger Corporation) 1,New Business,2010-04-23T07:00:00.000+0000,2011-03-30,Aaron Little,100000000000024,Closed Lost,,132600,,North America,United States
300000000000029,200000000000197,Alliance Global Group 1,Expansion,2010-04-23T07:00:00.000+0000,2011-02-07,Aaron Little,100000000000024,Closed Lost,,273000,,North America,United States
300000000000030,200000000000309,Anadarko Petroleum 1,Expansion,2010-04-26T07:00:00.000+0000,2011-02-07,Aaron Little,100000000000024,Closed Lost,,67800,,Europe,Western Europe
300000000000031,200000000000321,Andritz 1,Expansion,2010-04-30T07:00:00.000+0000,2010-11-29,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000032,200000000000425,Asahi Glass 1,Expansion,2010-05-03T07:00:00.000+0000,2010-12-03,Jan Barnett,100000000000043,Closed Lost,,67800,,North America,United States
300000000000033,200000000000042,ACCO Brands 1,Expansion,2010-05-03T07:00:00.000+0000,2011-05-31,Jan Barnett,100000000000043,Closed Lost,,67800,,North America,United States
300000000000034,200000000000213,Alpha Bank 1,New Business,2010-05-03T07:00:00.000+0000,2011-10-12,Nancy Simon,100000000000081,Closed Lost,,,,North America,United States
300000000000035,200000000000160,Albertsons LLC 1,Expansion,2010-05-03T07:00:00.000+0000,2011-10-12,Nancy Simon,100000000000081,Closed Lost,,,,North America,United States
300000000000036,200000000000226,Am´è_rica M´è__vil 1,New Business,2010-05-03T07:00:00.000+0000,2011-10-12,Nancy Simon,100000000000081,Closed Lost,,,,North America,United States
300000000000037,200000000000401,Arch Coal Inc. 1,New Business,2010-05-03T07:00:00.000+0000,2011-08-31,Michele Gonzalez,100000000000025,Closed Lost,Closed Lost,,,Asia Pacific,China
300000000000038,200000000000102,Aetna Inc. 1,Expansion,2010-05-06T07:00:00.000+0000,2016-04-08,Aaron Little,100000000000024,Closed Lost,Closed Lost,35400,,North America,United States
300000000000039,200000000000268,American International Group 1,New Business,2010-05-11T07:00:00.000+0000,2010-10-01,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000040,200000000000224,Altria Group 1,New Business,2010-05-18T07:00:00.000+0000,2011-10-12,Nancy Simon,100000000000081,Closed Lost,Closed Lost,,,North America,United States
300000000000041,200000000000254,American Eagle Outfitters 1,Expansion,2010-05-19T07:00:00.000+0000,2010-10-03,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000042,200000000000152,Akbank 1,Expansion,2010-05-19T07:00:00.000+0000,2010-10-18,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000043,200000000000289,Amkor Technology 1,Expansion,2010-05-19T07:00:00.000+0000,2010-09-01,Aaron Little,100000000000024,Closed Lost,,67800,,Asia Pacific,China
300000000000044,200000000000480,Audose 1,Expansion,2010-05-19T07:00:00.000+0000,2010-09-01,Rosemarie Fisher,100000000000005,Closed Lost,,67800,,Asia Pacific,China
300000000000045,200000000000156,Alaska Air Group Inc. 1,Expansion,2010-05-21T07:00:00.000+0000,2010-10-01,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000046,200000000000273,American Reprographics Company 1,New Business,2010-05-25T07:00:00.000+0000,2011-11-16,Aaron Little,100000000000024,Closed Lost,,,,North America,United States
300000000000047,200000000000407,Archose 1,New Business,2010-05-25T07:00:00.000+0000,2011-10-12,Nancy Simon,100000000000081,Closed Lost,,,,North America,United States
300000000000048,200000000000463,Atlantia 1,Expansion,2010-06-04T07:00:00.000+0000,2011-07-01,Michele Gonzalez,100000000000025,Closed Lost,,67800,,Asia Pacific,China
300000000000049,200000000000573,Bank Audi 1,Expansion,2010-06-09T07:00:00.000+0000,2010-07-01,Julius Willis,100000000000004,Closed Won,Closed Won,35400,,Asia Pacific,Australia
300000000000050,200000000000498,Automia 1,New Business,2010-06-17T07:00:00.000+0000,2010-07-27,Kayla Leonard,100000000000010,Closed Won,,148800,,North America,United States
300000000000051,200000000000399,Arch Capital Group 1,Expansion,2010-06-21T07:00:00.000+0000,2010-11-29,Lynn Richards,100000000000017,Closed Won,Closed Won,139080,,Europe,Eastern Europe
300000000000052,200000000000259,American Equity Investment 1,Expansion,2010-06-21T07:00:00.000+0000,2011-09-27,Agnes Dixon,100000000000102,Closed Lost,,67800,,Europe,Eastern Europe
300000000000053,200000000000133,Air Liquide 1,New Business,2010-06-21T07:00:00.000+0000,2016-04-08,Stuart Soto,100000000000046,Closed Lost,,36750,,Europe,Eastern Europe
300000000000054,200000000000164,Albore 1,New Business,2010-06-22T07:00:00.000+0000,2010-09-29,Hope Lynch,100000000000009,Closed Won,Closed Won,30540,,North America,United States
300000000000055,200000000000168,Alcoa Inc. 1,Expansion,2010-06-28T07:00:00.000+0000,2011-09-27,Nancy Simon,100000000000081,Closed Lost,,,,North America,United States
300000000000056,200000000000159,Albertson's Inc. 1,Expansion,2010-06-29T07:00:00.000+0000,2010-12-03,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000057,200000000000505,Avago Technologies 1,Expansion,2010-07-06T07:00:00.000+0000,2011-02-07,Aaron Little,100000000000024,Closed Lost,,70500,,Africa,Africa
300000000000058,200000000000543,Baidu 1,Expansion,2010-07-06T07:00:00.000+0000,2011-01-06,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000059,200000000000222,Altra Industrial Motion 1,Expansion,2010-07-06T07:00:00.000+0000,2011-02-07,Aaron Little,100000000000024,Closed Lost,Closed Lost,67800,,North America,United States
300000000000060,200000000000203,Allied Insurance 1,Expansion,2010-07-06T07:00:00.000+0000,2011-06-30,Aaron Little,100000000000024,Closed Lost,,205500,,North America,United States
300000000000061,200000000000107,AFLAC Incorporated 1,Expansion,2010-07-06T07:00:00.000+0000,2011-02-07,Marlon Burton,100000000000055,Closed Lost,,132600,,Asia Pacific,China
300000000000062,200000000000249,American Apparel 1,New Business,2010-07-06T07:00:00.000+0000,2011-03-23,Julius Willis,100000000000004,Closed Won,Closed Won,388840,,North America,United States
300000000000063,200000000000497,Autombee 1,New Business,2010-07-06T07:00:00.000+0000,2011-10-12,Nancy Simon,100000000000081,Closed Lost,,,,North America,United States
300000000000064,200000000000331,Animose 1,New Business,2010-07-06T07:00:00.000+0000,2013-03-08,Stella Peters,100000000000107,Closed Lost,Closed Lost,,,North America,United States
300000000000065,200000000000237,Ambita 1,Expansion,2010-07-07T07:00:00.000+0000,2011-02-07,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000066,200000000000492,Autoliv 1,New Business,2010-07-07T07:00:00.000+0000,2011-02-07,Aaron Little,100000000000024,Closed Lost,,132600,,North America,United States
300000000000067,200000000000634,BCI-Banco Credito 1,New Business,2010-07-07T07:00:00.000+0000,2016-04-08,Victoria Mckenzie,100000000000050,Closed Lost,,,,Europe,Eastern Europe
300000000000068,200000000000198,Alliance Rubber Company 1,New Business,2010-07-08T07:00:00.000+0000,2011-02-28,Jan Barnett,100000000000043,Closed Lost,,67800,,North America,United States
300000000000069,200000000000725,Black Hills Corporation 1,Expansion,2010-07-09T07:00:00.000+0000,2010-12-08,Julius Willis,100000000000004,Closed Won,Closed Won,138000,,Europe,Western Europe
300000000000070,200000000000341,Ansys 1,New Business,2010-07-12T07:00:00.000+0000,2010-12-03,Stuart Soto,100000000000046,Closed Lost,,,,Europe,Eastern Europe
300000000000071,200000000000743,Boeing 1,Expansion,2010-07-13T07:00:00.000+0000,2011-02-13,Aaron Little,100000000000024,Closed Lost,,,,North America,United States
300000000000072,200000000000735,BMC Software 1,New Business,2010-07-13T07:00:00.000+0000,2011-03-04,Jan Barnett,100000000000043,Closed Lost,,35400,,North America,United States
300000000000073,200000000000350,Antido 1,New Business,2010-07-14T07:00:00.000+0000,2011-10-14,Marlon Burton,100000000000055,Closed Lost,,,,Europe,Eastern Europe
300000000000074,200000000000205,Allied Waste Industries Inc. 1,Expansion,2010-07-15T07:00:00.000+0000,2011-02-13,Aaron Little,100000000000024,Closed Lost,,,,North America,United States
300000000000075,200000000000694,Bharat Petroleum 1,New Business,2010-07-15T07:00:00.000+0000,2016-04-08,Aaron Little,100000000000024,Closed Lost,,,,North America,United States
300000000000076,200000000000755,Books-A-Million 1,Expansion,2010-07-15T07:00:00.000+0000,2011-02-13,Aaron Little,100000000000024,Closed Lost,,,,North America,United States
300000000000077,200000000000002,24 Hour Fitness 2,Expansion,2010-07-15T07:00:00.000+0000,2011-02-07,Aaron Little,100000000000024,Closed Lost,,70500,,North America,United States
300000000000078,200000000000754,Bonosis 1,Expansion,2010-07-15T07:00:00.000+0000,2011-02-13,Aaron Little,100000000000024,Closed Lost,,,,North America,United States
300000000000079,200000000000004,3Com Corp 1,Expansion,2010-07-15T07:00:00.000+0000,2011-02-07,Aaron Little,100000000000024,Closed Lost,,70500,,North America,United States
300000000000080,200000000000294,AMP 1,New Business,2010-07-15T07:00:00.000+0000,2010-06-30,Julius Willis,100000000000004,Closed Won,Closed Won,35400,,North America,United States
300000000000081,200000000000348,Antevee 1,New Business,2010-07-16T07:00:00.000+0000,2012-01-20,Victoria Mckenzie,100000000000050,Closed Lost,,,,Europe,Eastern Europe
300000000000082,200000000000789,Brightpoint Inc. 1,New Business,2010-07-20T07:00:00.000+0000,2011-02-13,Aaron Little,100000000000024,Closed Lost,,,,North America,United States
300000000000083,200000000000430,Ashikaga Holdings 1,Expansion,2010-07-22T07:00:00.000+0000,2011-02-07,Alfonso Goodwin,100000000000096,Closed Lost,,67800,,Europe,Western Europe
300000000000084,200000000000267,American Home Mortgage 1,New Business,2010-07-27T07:00:00.000+0000,2011-01-06,Aaron Little,100000000000024,Closed Lost,,138000,,North America,United States
300000000000085,200000000000795,Bristol-Myers Squibb Company 1,Expansion,2010-07-27T07:00:00.000+0000,2011-06-30,Aaron Little,100000000000024,Closed Lost,,,,North America,United States
300000000000086,200000000000015,Aareal Bank 1,New Business,2010-07-29T07:00:00.000+0000,2010-12-06,Hector Gomez,100000000000023,Closed Won,Closed Won,57000,,Asia Pacific,China
300000000000087,200000000000093,AECOM 1,Expansion,2010-07-29T07:00:00.000+0000,2011-09-30,Marlon Burton,100000000000055,Closed Lost,,104250,,Asia Pacific,China
300000000000088,200000000000324,Anglo American 1,Expansion,2010-07-29T07:00:00.000+0000,2016-04-08,Victoria Mckenzie,100000000000050,Closed Lost,,67800,,Asia Pacific,China
300000000000089,200000000000113,Agilent Technologies 1,Expansion,2010-07-29T07:00:00.000+0000,2016-04-08,Michele Gonzalez,100000000000025,Closed Lost,,35400,,Asia Pacific,China
300000000000090,200000000000014,A2A 1,Expansion,2010-07-30T07:00:00.000+0000,2011-09-30,Marlon Burton,100000000000055,Closed Lost,,70500,,Asia Pacific,China
300000000000091,200000000000803,Brookdale Senior Living 1,Expansion,2010-08-03T07:00:00.000+0000,2011-02-14,Aaron Little,100000000000024,Closed Lost,,35400,,North America,United States
300000000000092,200000000000420,Arrow Electronics 1,Expansion,2010-08-09T07:00:00.000+0000,2016-04-08,Aaron Little,100000000000024,Closed Lost,,67800,,Europe,Western Europe
300000000000093,200000000000468,Atmos Energy 1,Expansion,2010-08-09T07:00:00.000+0000,2011-06-30,Joann Gross,100000000000065,Closed Lost,,35400,,Asia Pacific,China
300000000000094,200000000000269,American International Group Inc. 1,New Business,2010-08-09T07:00:00.000+0000,2011-10-12,Nancy Simon,100000000000081,Closed Lost,,,,North America,United States
300000000000095,200000000000246,America West Holdings Corporation 1,New Business,2010-08-09T07:00:00.000+0000,2010-09-30,Hope Lynch,100000000000009,Closed Won,Closed Won,205500,,North America,United States
300000000000096,200000000000089,Advanced Semiconductor 1,New Business,2010-08-09T07:00:00.000+0000,2011-09-30,Michele Gonzalez,100000000000025,Closed Lost,,138000,,Asia Pacific,China
300000000000097,200000000000297,Amphicero 1,Expansion,2010-08-09T07:00:00.000+0000,2011-06-28,Michele Gonzalez,100000000000025,Closed Lost,,,,Asia Pacific,China
300000000000098,200000000000877,Canadian National Railway 1,Expansion,2010-08-09T07:00:00.000+0000,2011-07-28,Michele Gonzalez,100000000000025,Closed Lost,,35400,,Asia Pacific,China
300000000000099,200000000000303,AMSOIL Inc. 1,Expansion,2010-08-10T07:00:00.000+0000,2011-03-01,Aaron Little,100000000000024,Closed Lost,,35400,,North America,United States
300000000000100,200000000000104,Affiliated Computer Services Inc. 1,Expansion,2010-08-10T07:00:00.000+0000,2011-02-07,Marlon Burton,100000000000055,Closed Lost,,70500,,Asia Pacific,China
300000000000101,200000000000558,Banca Popolare dell'Emilia 1,Expansion,2010-08-18T07:00:00.000+0000,2010-09-30,Kayla Leonard,100000000000010,Closed Won,Closed Won,268950,,North America,United States
300000000000102,200000000000301,Amphiyo 1,New Business,2010-08-20T07:00:00.000+0000,2010-09-30,Aaron Little,100000000000024,Closed Lost,,16500,,North America,United States
300000000000103,200000000000902,Caposis 1,New Business,2010-08-20T07:00:00.000+0000,2010-12-31,Rosemarie Fisher,100000000000005,Closed Lost,,,,North America,United States
300000000000104,200000000000904,Cardinal Health Inc. 1,New Business,2010-08-20T07:00:00.000+0000,2010-12-31,Jan Barnett,100000000000043,Closed Lost,,35400,,North America,United States
300000000000105,200000000000429,Asbury Automotive Group 1,New Business,2010-08-23T07:00:00.000+0000,2011-07-28,Michele Gonzalez,100000000000025,Closed Lost,,35400,,Asia Pacific,China
300000000000106,200000000000571,Bancolombia 1,Expansion,2010-08-26T07:00:00.000+0000,2011-02-07,Aaron Little,100000000000024,Closed Lost,,35400,,North America,United States
300000000000107,200000000000561,Banco BPI 1,New Business,2010-08-26T07:00:00.000+0000,2010-12-22,Rosemarie Fisher,100000000000005,Closed Won,,136650,,North America,United States
300000000000108,200000000000260,American Express 1,Expansion,2010-08-26T07:00:00.000+0000,2010-12-21,Rosemarie Fisher,100000000000005,Closed Won,Closed Won,111000,,North America,United States
300000000000109,200000000000727,Blackstone Group 1,Expansion,2010-09-01T07:00:00.000+0000,2010-12-02,Hope Lynch,100000000000009,Closed Won,Closed Won,100200,,North America,United States
300000000000110,200000000000383,Applied Materials 1,New Business,2010-09-02T07:00:00.000+0000,2011-03-30,Victoria Mckenzie,100000000000050,Closed Lost,,,,Europe,Eastern Europe
300000000000111,200000000000115,Agimbee 1,New Business,2010-09-02T07:00:00.000+0000,2011-10-05,Michele Gonzalez,100000000000025,Closed Lost,,391800,,Asia Pacific,China
300000000000112,200000000000923,Carter's Inc. 1,New Business,2010-09-07T07:00:00.000+0000,2011-08-21,Jan Barnett,100000000000043,Closed Lost,,,,North America,United States
300000000000113,200000000000596,Bank of Nagoya 1,New Business,2010-09-08T07:00:00.000+0000,2011-01-31,Jan Barnett,100000000000043,Closed Lost,,35400,,North America,United States
300000000000114,200000000000369,Apollo Global Management 1,New Business,2010-09-09T07:00:00.000+0000,2010-10-01,Rosemarie Fisher,100000000000005,Closed Lost,,35400,,Europe,Eastern Europe
300000000000115,200000000000509,Avatri 1,Expansion,2010-09-16T07:00:00.000+0000,2016-04-08,Victoria Mckenzie,100000000000050,Closed Lost,,,,Europe,Eastern Europe
300000000000116,200000000000397,Arca Continental 1,Expansion,2010-09-20T07:00:00.000+0000,2011-01-07,Aaron Little,100000000000024,Closed Lost,,138000,,North America,United States
300000000000117,200000000000491,Autodesk 1,New Business,2010-09-23T07:00:00.000+0000,2011-05-20,Aaron Little,100000000000024,Closed Won,Closed Won,210900,,Europe,Eastern Europe
300000000000118,200000000000199,Alliant Energy 1,New Business,2010-09-24T07:00:00.000+0000,2011-10-12,Nancy Simon,100000000000081,Closed Lost,,,,North America,United States
300000000000119,200000000000559,Banca Popolare di Milano 1,New Business,2010-09-27T07:00:00.000+0000,2010-12-21,Rosemarie Fisher,100000000000005,Closed Won,Closed Won,405400,,North America,United States
300000000000120,200000000000927,Catamaran 1,New Business,2010-10-01T07:00:00.000+0000,2011-02-07,Aaron Little,100000000000024,Closed Lost,,35400,,Europe,Western Europe
300000000000121,200000000000220,Altera Corporation 1,New Business,2010-10-05T07:00:00.000+0000,2012-06-29,Stella Peters,100000000000107,Closed Lost,Closed Lost,,,Europe,Eastern Europe
300000000000122,200000000000193,Allergan 2,Expansion,2010-10-06T07:00:00.000+0000,2010-09-30,Julius Willis,100000000000004,Closed Won,Closed Won,67800,,North America,United States
300000000000123,200000000000594,Bank of Kyoto 1,New Business,2010-10-08T07:00:00.000+0000,2016-04-08,Jan Barnett,100000000000043,Closed Lost,,67800,,North America,United States
300000000000124,200000000000928,Caterpillar 1,New Business,2010-10-08T07:00:00.000+0000,2010-12-31,Mae Clayton,100000000000077,Closed Lost,,67800,,Asia Pacific,China
300000000000125,200000000000345,Antepe 1,New Business,2010-10-12T07:00:00.000+0000,2011-10-17,Mae Clayton,100000000000077,Closed Lost,,,,Europe,Eastern Europe
300000000000126,200000000000585,Bank of Beijing 1,Expansion,2010-10-13T07:00:00.000+0000,2011-07-29,Victoria Mckenzie,100000000000050,Closed Lost,,35400,,Asia Pacific,China
300000000000127,200000000000953,Celgene 1,New Business,2010-10-15T07:00:00.000+0000,2011-06-30,Michele Gonzalez,100000000000025,Closed Lost,,16500,,Asia Pacific,China
300000000000128,200000000000965,Centinti 1,New Business,2010-10-15T07:00:00.000+0000,2011-03-31,Michele Gonzalez,100000000000025,Closed Lost,,70500,,Asia Pacific,China
300000000000129,200000000000968,Central Bank of India 1,New Business,2010-10-18T07:00:00.000+0000,2016-04-08,Joann Gross,100000000000065,Closed Lost,,,,Asia Pacific,China
300000000000130,200000000000934,Cbeyond 1,New Business,2010-10-18T07:00:00.000+0000,2016-04-08,Michele Gonzalez,100000000000025,Closed Lost,,35400,,Asia Pacific,China
300000000000131,200000000000009,A. O. Smith 2,New Business,2010-10-19T07:00:00.000+0000,2010-12-03,Aaron Little,100000000000024,Closed Lost,,67800,,North America,United States
300000000000132,200000000000458,AT&T Inc. 1,New Business,2010-10-20T07:00:00.000+0000,2011-10-28,Michele Gonzalez,100000000000025,Closed Lost,,70500,,Asia Pacific,China
300000000000133,200000000000280,Ameriprise Financial 1,New Business,2010-10-21T07:00:00.000+0000,2016-04-08,Aaron Little,100000000000024,Closed Lost,,51600,,North America,United States
300000000000134,200000000000186,Alleghany 1,New Business,2010-10-22T07:00:00.000+0000,2011-06-27,Michele Gonzalez,100000000000025,Closed Lost,,51600,,Asia Pacific,China
300000000000135,200000000000969,Central Japan Railway 1,New Business,2010-10-22T07:00:00.000+0000,2011-04-28,Michele Gonzalez,100000000000025,Closed Won,Closed Won,76120,,North America,United States
300000000000136,200000000000465,Atlas Copco 1,New Business,2010-10-22T07:00:00.000+0000,2016-04-08,Michele Gonzalez,100000000000025,Closed Lost,,35400,,Asia Pacific,China
